synthetic_claim,text,label,speaker,subject,context,conditioning_metadata,true_counts,mostly_true_counts,half_true_counts,mostly_false_counts,false_counts,pants_on_fire_counts
"nancy pelosis trump werearrested in d. (joe), which allowed a shoot to ban all 193.","nancy pelosis trump werearrested in d. (joe), which allowed a shoot to ban all 193.

[METADATA] speaker: facebook posts | subject: fake news;military;veterans;facebook fact-checks | context: a Facebook post",0,facebook posts,fake news;military;veterans;facebook fact-checks,a Facebook post,speaker: facebook posts | subject: fake news;military;veterans;facebook fact-checks | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"if we have two jobs, the minimum wage job, it was more than the entire job.","if we have two jobs, the minimum wage job, it was more than the entire job.

[METADATA] speaker: peter barca | subject: families;income;jobs | context: a news conference",0,peter barca,families;income;jobs,a news conference,speaker: peter barca | subject: families;income;jobs | context: a news conference,0.0,0.3333333432674408,0.2222222238779068,0.0,0.3333333432674408,0.1111111119389534
if president barack obamas stimulus programour economy. and cutting health care reform.,"if president barack obamas stimulus programour economy. and cutting health care reform.

[METADATA] speaker: u.s. chamber of commerce | subject: health care;medicare;message machine 2012;tampa bay 10 news | context: a TV ad",0,u.s. chamber of commerce,health care;medicare;message machine 2012;tampa bay 10 news,a TV ad,speaker: u.s. chamber of commerce | subject: health care;medicare;message machine 2012;tampa bay 10 news | context: a TV ad,0.11764705926179886,0.05882352963089943,0.1764705926179886,0.3529411852359772,0.23529411852359772,0.05882352963089943
cuomo russia. 20% of america and its policy that couldby the first time in 2003.,"cuomo russia. 20% of america and its policy that couldby the first time in 2003.

[METADATA] speaker: donald trump | subject: crime | context: a speech",0,donald trump,crime,a speech,speaker: donald trump | subject: crime | context: a speech,0.03696098551154137,0.08726899325847626,0.12320328503847122,0.19917865097522736,0.36960986256599426,0.18377824127674103
"we're still going about two% of those who were the covid - 19 vaccine, they're going to be by getting a job.","we're still going about two% of those who were the covid - 19 vaccine, they're going to be by getting a job.

[METADATA] speaker: joy behar | subject: public health;pundits;punditfact;coronavirus | context: an episode of ABC's ""The View""",0,joy behar,public health;pundits;punditfact;coronavirus,"an episode of ABC's ""The View""","speaker: joy behar | subject: public health;pundits;punditfact;coronavirus | context: an episode of ABC's ""The View""",0.0,0.0,0.3333333432674408,0.0,0.6666666865348816,0.0
wisconsin numbers have been aniranian by soros from voting because they won dont win the election election.,"wisconsin numbers have been aniranian by soros from voting because they won dont win the election election.

[METADATA] speaker: donald trump | subject: elections | context: Helsinki",0,donald trump,elections,Helsinki,speaker: donald trump | subject: elections | context: Helsinki,0.03696098551154137,0.08726899325847626,0.12320328503847122,0.19917865097522736,0.36960986256599426,0.18377824127674103
"quotes actor as saying,they can be exposed away with covid - 19 vaccines.","quotes actor as saying,they can be exposed away with covid - 19 vaccines.

[METADATA] speaker: facebook posts | subject: facebook fact-checks | context: a post",0,facebook posts,facebook fact-checks,a post,speaker: facebook posts | subject: facebook fact-checks | context: a post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
images show the white houseits own plane to stop 2022. no wonder.,"images show the white houseits own plane to stop 2022. no wonder.

[METADATA] speaker: viral image | subject: facebook fact-checks | context: a Facebook post",0,viral image,facebook fact-checks,a Facebook post,speaker: viral image | subject: facebook fact-checks | context: a Facebook post,0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
"elon musk tweeted,you cannot be arrested from the covid - 19 vaccine.","elon musk tweeted,you cannot be arrested from the covid - 19 vaccine.

[METADATA] speaker: viral image | subject: facebook fact-checks | context: a Facebook post",0,viral image,facebook fact-checks,a Facebook post,speaker: viral image | subject: facebook fact-checks | context: a Facebook post,0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
during his the new jersey deal wasinvolved by these gun violence in an islamic background.,"during his the new jersey deal wasinvolved by these gun violence in an islamic background.

[METADATA] speaker: john depetro | subject: history;islam;crime;pundits;religion;terrorism | context: a comment on WPRO radio",0,john depetro,history;islam;crime;pundits;religion;terrorism,a comment on WPRO radio,speaker: john depetro | subject: history;islam;crime;pundits;religion;terrorism | context: a comment on WPRO radio,0.0,0.0,0.0,0.0,0.5,0.5
"﻿ state department says how many creditis being investigated by the state department of, but republicans were taken.","﻿ state department says how many creditis being investigated by the state department of, but republicans were taken.

[METADATA] speaker: saving arizona pac | subject: federal budget;ad watch | context: an ad",0,saving arizona pac,federal budget;ad watch,an ad,speaker: saving arizona pac | subject: federal budget;ad watch | context: an ad,0.0,0.0,0.0,1.0,0.0,0.0
only for the police movement wasstolen by 35 days to fight against the american.,"only for the police movement wasstolen by 35 days to fight against the american.

[METADATA] speaker: matt bevin | subject: animals;history | context: a radio interview",0,matt bevin,animals;history,a radio interview,speaker: matt bevin | subject: animals;history | context: a radio interview,0.0,0.3333333432674408,0.0,0.0,0.3333333432674408,0.3333333432674408
bill nelson hasnot even over the last three years of.,"bill nelson hasnot even over the last three years of.

[METADATA] speaker: lou greenwald | subject: jobs | context: a message on Facebook",0,lou greenwald,jobs,a message on Facebook,speaker: lou greenwald | subject: jobs | context: a message on Facebook,0.25,0.25,0.125,0.0,0.125,0.25
we had to a recent tax cut of dollarsbecause is of the tax dollars.,"we had to a recent tax cut of dollarsbecause is of the tax dollars.

[METADATA] speaker: jason isaac | subject: message machine 2010;voting record;taxes | context: a TV ad",0,jason isaac,message machine 2010;voting record;taxes,a TV ad,speaker: jason isaac | subject: message machine 2010;voting record;taxes | context: a TV ad,0.1666666716337204,0.0,0.1666666716337204,0.5,0.0,0.1666666716337204
bill to washington 26% of people who isa right to work.,"bill to washington 26% of people who isa right to work.

[METADATA] speaker: facebook posts | subject: corrections and updates;elections;public health;supreme court;coronavirus;texas | context: a Facebook post",0,facebook posts,corrections and updates;elections;public health;supreme court;coronavirus;texas,a Facebook post,speaker: facebook posts | subject: corrections and updates;elections;public health;supreme court;coronavirus;texas | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"as governor, obama signs of a massive executive order that could be put all of the, 000 new york on iran.","as governor, obama signs of a massive executive order that could be put all of the, 000 new york on iran.

[METADATA] speaker: newt gingrich | subject: homeland security;foreign policy | context: an interview on 'The O'Reilly Factor'",0,newt gingrich,homeland security;foreign policy,an interview on 'The O'Reilly Factor',speaker: newt gingrich | subject: homeland security;foreign policy | context: an interview on 'The O'Reilly Factor',0.08433734625577927,0.1325301229953766,0.2530120611190796,0.20481927692890167,0.1807228922843933,0.14457830786705017
"during the biden administration is, 000 people who served a preexisting conditions.","during the biden administration is, 000 people who served a preexisting conditions.

[METADATA] speaker: jon huntsman | subject: energy;new hampshire 2012 | context: an editorial board meeting with the Nashua Telegraph",0,jon huntsman,energy;new hampshire 2012,an editorial board meeting with the Nashua Telegraph,speaker: jon huntsman | subject: energy;new hampshire 2012 | context: an editorial board meeting with the Nashua Telegraph,0.1111111119389534,0.2222222238779068,0.2777777910232544,0.2777777910232544,0.0555555559694767,0.0555555559694767
wisconsin gov. scott walker voted toour public school system in the city of your money.,"wisconsin gov. scott walker voted toour public school system in the city of your money.

[METADATA] speaker: scott walker | subject: education;state budget | context: a TV ad",0,scott walker,education;state budget,a TV ad,speaker: scott walker | subject: education;state budget | context: a TV ad,0.12682926654815674,0.2195121943950653,0.1902438998222351,0.19512194395065308,0.21463415026664734,0.053658537566661835
weve had a new york timeson his (sic) bill by gold state attorney general.,"weve had a new york timeson his (sic) bill by gold state attorney general.

[METADATA] speaker: rick perry | subject: legal issues;regulation;technology | context: a book",0,rick perry,legal issues;regulation;technology,a book,speaker: rick perry | subject: legal issues;regulation;technology | context: a book,0.151162788271904,0.13953489065170288,0.25,0.1744185984134674,0.18023255467414856,0.10465116053819656
"rick perry just discovered at our election, the republicans administration, which included working on welfare workers.","rick perry just discovered at our election, the republicans administration, which included working on welfare workers.

[METADATA] speaker: national republican senatorial committee | subject: national;campaign finance;congress;elections | context: an ad",0,national republican senatorial committee,national;campaign finance;congress;elections,an ad,speaker: national republican senatorial committee | subject: national;campaign finance;congress;elections | context: an ad,0.018518518656492233,0.0555555559694767,0.20370370149612427,0.3333333432674408,0.25925925374031067,0.12962962687015533
"through her father - old girl""and (donald trump)""have seen a bill.","through her father - old girl""and (donald trump)""have seen a bill.

[METADATA] speaker: joe biden | subject: candidate biography;race and ethnicity | context: Atlanta",0,joe biden,candidate biography;race and ethnicity,Atlanta,speaker: joe biden | subject: candidate biography;race and ethnicity | context: Atlanta,0.09328357875347137,0.23880596458911896,0.24253731966018677,0.19402985274791718,0.20522387325763702,0.026119403541088104
hillary clinton and iranis a lot of jobs to destroy against our economy.,"hillary clinton and iranis a lot of jobs to destroy against our economy.

[METADATA] speaker: donald trump | subject: candidate biography;debates | context: an interview on CNN",0,donald trump,candidate biography;debates,an interview on CNN,speaker: donald trump | subject: candidate biography;debates | context: an interview on CNN,0.03696098551154137,0.08726899325847626,0.12320328503847122,0.19917865097522736,0.36960986256599426,0.18377824127674103
quotes donald trump sayinga total shutdown to americans than someone and only two hours.,"quotes donald trump sayinga total shutdown to americans than someone and only two hours.

[METADATA] speaker: facebook posts | subject: facebook fact-checks | context: a Facebook post",0,facebook posts,facebook fact-checks,a Facebook post,speaker: facebook posts | subject: facebook fact-checks | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"some of americans, if the irs wants to buyinformation of what i is, and the other ones out.","some of americans, if the irs wants to buyinformation of what i is, and the other ones out.

[METADATA] speaker: alliance defending freedom | subject: abortion;public health;facebook fact-checks | context: a Facebook post",0,alliance defending freedom,abortion;public health;facebook fact-checks,a Facebook post,speaker: alliance defending freedom | subject: abortion;public health;facebook fact-checks | context: a Facebook post,0.0,0.0,0.5,0.0,0.5,0.0
an infant at his bike iscompletely about his economy.,"an infant at his bike iscompletely about his economy.

[METADATA] speaker: facebook posts | subject: financial regulation;government regulation;facebook fact-checks | context: a Facebook post",0,facebook posts,financial regulation;government regulation;facebook fact-checks,a Facebook post,speaker: facebook posts | subject: financial regulation;government regulation;facebook fact-checks | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
a new person officer was caughtbecause he addressed of the us who gave us at risk.,"a new person officer was caughtbecause he addressed of the us who gave us at risk.

[METADATA] speaker: facebook posts | subject: fake news;facebook fact-checks | context: a post",0,facebook posts,fake news;facebook fact-checks,a post,speaker: facebook posts | subject: fake news;facebook fact-checks | context: a post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"under joe bidens red, new yorkwill have an back to pay him.","under joe bidens red, new yorkwill have an back to pay him.

[METADATA] speaker: facebook posts | subject: facebook fact-checks | context: a Facebook post",0,facebook posts,facebook fact-checks,a Facebook post,speaker: facebook posts | subject: facebook fact-checks | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
there's a very identifiable idea in the country and that they're nothing to stay.,"there's a very identifiable idea in the country and that they're nothing to stay.

[METADATA] speaker: anna kooiman | subject: environment;jobs;punditfact | context: a segment on ""Fox & Friends""",0,anna kooiman,environment;jobs;punditfact,"a segment on ""Fox & Friends""","speaker: anna kooiman | subject: environment;jobs;punditfact | context: a segment on ""Fox & Friends""",0.0,0.0,0.0,1.0,0.0,0.0
"isis - known state, republicans have signed the states voter registration laws teams.","isis - known state, republicans have signed the states voter registration laws teams.

[METADATA] speaker: john cox | subject: criminal justice;elections;crime | context: a campaign press conference",0,john cox,criminal justice;elections;crime,a campaign press conference,speaker: john cox | subject: criminal justice;elections;crime | context: a campaign press conference,0.0,0.1428571492433548,0.4285714328289032,0.0,0.4285714328289032,0.0
"if social security, medicare have gone up the cost of social security benefits.","if social security, medicare have gone up the cost of social security benefits.

[METADATA] speaker: katherine cloonen | subject: medicare;social security | context: a campaign ad",0,katherine cloonen,medicare;social security,a campaign ad,speaker: katherine cloonen | subject: medicare;social security | context: a campaign ad,0.0,0.0,0.0,0.0,0.0,1.0
"cnn governor. rick perry, is atotal man for gun violence to destroy our military.","cnn governor. rick perry, is atotal man for gun violence to destroy our military.

[METADATA] speaker: kyleen wright | subject: crime;women | context: a Twitter message",0,kyleen wright,crime;women,a Twitter message,speaker: kyleen wright | subject: crime;women | context: a Twitter message,0.0,0.0,0.0,1.0,0.0,0.0
says texas. the law will meanpeople making a gun confiscation rate.,"says texas. the law will meanpeople making a gun confiscation rate.

[METADATA] speaker: virginia house democratic caucus | subject: public safety;guns | context: a committee meeting",0,virginia house democratic caucus,public safety;guns,a committee meeting,speaker: virginia house democratic caucus | subject: public safety;guns | context: a committee meeting,0.0,0.5,0.0,0.0,0.5,0.0
