synthetic_claim,text,label,speaker,subject,context,conditioning_prompt,true_counts,mostly_true_counts,half_true_counts,mostly_false_counts,false_counts,pants_on_fire_counts
"The 2016 election was ""a sham. It's a complete fraud, and it will be in the history books for years to come as we do not have an official record of how this happened."" (Says Joe Biden) said that he would vote against Trump because his campaign had been rigged by Hillary Clinton"" but also voted with Donald Jimmie Bush when both were accused at different times during their campaigns","The 2016 election was ""a sham. It's a complete fraud, and it will be in the history books for years to come as we do not have an official record of how this happened."" (Says Joe Biden) said that he would vote against Trump because his campaign had been rigged by Hillary Clinton"" but also voted with Donald Jimmie Bush when both were accused at different times during their campaigns

[METADATA] speaker: donald trump | subject: elections;wisconsin | context: News release",0,donald trump,elections;wisconsin,News release,"[CONDITION] Label: FAKE | Speaker: donald trump | Subject: elections;wisconsin | Context: News release
[CLAIM]",0.03696098551154137,0.08726899325847626,0.12320328503847122,0.19917865097522736,0.36960986256599426,0.18377824127674103
"Says President Joe Biden said, ""I want to make sure that the American people are not able (to) own guns. I do it for my country and protect our nation from terrorists! ... We have been living with gun violence in this USA since 2010 when we were elected as president."" Trump tweeted about his plans but never mentioned whether he had ever owned one of them before then.. He also didnt","Says President Joe Biden said, ""I want to make sure that the American people are not able (to) own guns. I do it for my country and protect our nation from terrorists! ... We have been living with gun violence in this USA since 2010 when we were elected as president."" Trump tweeted about his plans but never mentioned whether he had ever owned one of them before then.. He also didnt

[METADATA] speaker: viral image | subject: facebook fact-checks;guns | context: a Facebook post",0,viral image,facebook fact-checks;guns,a Facebook post,"[CONDITION] Label: FAKE | Speaker: viral image | Subject: facebook fact-checks;guns | Context: a Facebook post
[CLAIM]",0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
"The FBI is ""getting involved"" in the murder of 2 women and children. They are trying to stop them from getting married, they have been arrested for their involvement with this plot so far! 💔👰‍♀️❤️ #FBIHunter!!","The FBI is ""getting involved"" in the murder of 2 women and children. They are trying to stop them from getting married, they have been arrested for their involvement with this plot so far! 💔👰‍♀️❤️ #FBIHunter!!

[METADATA] speaker: facebook posts | subject: crime;facebook fact-checks | context: a Facebook post",0,facebook posts,crime;facebook fact-checks,a Facebook post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: crime;facebook fact-checks | Context: a Facebook post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"Says President Barack Obama ""was not invited"" by the White House. He was also denied entry for his visit, and he never had access during Trump's presidency because of that lack thereof... The president himself has no record as being in Washington from 2017-2021! ...He is completely out there doing this stuff with every day since then!! They don't know what they're looking at yet but I can","Says President Barack Obama ""was not invited"" by the White House. He was also denied entry for his visit, and he never had access during Trump's presidency because of that lack thereof... The president himself has no record as being in Washington from 2017-2021! ...He is completely out there doing this stuff with every day since then!! They don't know what they're looking at yet but I can

[METADATA] speaker: chain email | subject: patriotism | context: a message forwarded to many people",0,chain email,patriotism,a message forwarded to many people,"[CONDITION] Label: FAKE | Speaker: chain email | Subject: patriotism | Context: a message forwarded to many people
[CLAIM]",0.032967034727334976,0.02747252769768238,0.049450550228357315,0.06043956056237221,0.24175824224948883,0.5879120826721191
"Says the state's budget cuts ""will result in 20,000 jobs lost to non-profit and private schools. We will have no public school funding for our students or their families,"" with $1 billion cut from each teacher salary increase over two years."" Under Gov. Chris Christie’s leadership during his tenure as governor he has been known on Wall Street ... “to spend more than you earn at any given time.” He","Says the state's budget cuts ""will result in 20,000 jobs lost to non-profit and private schools. We will have no public school funding for our students or their families,"" with $1 billion cut from each teacher salary increase over two years."" Under Gov. Chris Christie’s leadership during his tenure as governor he has been known on Wall Street ... “to spend more than you earn at any given time.” He

[METADATA] speaker: ohio federation of teachers | subject: education | context: a news release",0,ohio federation of teachers,education,a news release,"[CONDITION] Label: FAKE | Speaker: ohio federation of teachers | Subject: education | Context: a news release
[CLAIM]",0.0,0.0,0.0,1.0,0.0,0.0
"Says ""the number of votes cast in the 2020 presidential election was over double that amount for Hillary Clinton. It's just not possible to have such an outcome without fraud and/or voter suppression tactics being used by someone with bad intentions! #ClintonVote""😂","Says ""the number of votes cast in the 2020 presidential election was over double that amount for Hillary Clinton. It's just not possible to have such an outcome without fraud and/or voter suppression tactics being used by someone with bad intentions! #ClintonVote""😂

[METADATA] speaker: kelly loeffler | subject: elections | context: a tweet",0,kelly loeffler,elections,a tweet,"[CONDITION] Label: FAKE | Speaker: kelly loeffler | Subject: elections | Context: a tweet
[CLAIM]",0.0,0.0,0.0,0.6666666865348816,0.3333333432674408,0.0
"Says the ""Labor Day anniversary of Planned Parenthood's opening in Kansas City, MO is being celebrated with an event that includes live streaming. A video was made showing what happens inside and how it affects women who are trying to get abortions."" He also said he supports expanding access for low-income people"" by removing charges from Medicaid coverage under which they can have children if their insurance doesn't cover them as long","Says the ""Labor Day anniversary of Planned Parenthood's opening in Kansas City, MO is being celebrated with an event that includes live streaming. A video was made showing what happens inside and how it affects women who are trying to get abortions."" He also said he supports expanding access for low-income people"" by removing charges from Medicaid coverage under which they can have children if their insurance doesn't cover them as long

[METADATA] speaker: greg abbott | subject: abortion;women | context: a tweet",0,greg abbott,abortion;women,a tweet,"[CONDITION] Label: FAKE | Speaker: greg abbott | Subject: abortion;women | Context: a tweet
[CLAIM]",0.18518517911434174,0.16049382090568542,0.16049382090568542,0.23456789553165436,0.18518517911434174,0.07407407462596893
"Says the United States has ""no record of any terrorist attacks in its 50 years. The last one was just an American Air Force jet that went down over Iran, not us! I've never seen anything like this before!"" He also said he's been involved with President George W Bush and Vice-President Barack Obama but did nothing to stop him from carrying out his plan for hijacking planes on July 11","Says the United States has ""no record of any terrorist attacks in its 50 years. The last one was just an American Air Force jet that went down over Iran, not us! I've never seen anything like this before!"" He also said he's been involved with President George W Bush and Vice-President Barack Obama but did nothing to stop him from carrying out his plan for hijacking planes on July 11

[METADATA] speaker: donald trump | subject: history;terrorism | context: a tweet",0,donald trump,history;terrorism,a tweet,"[CONDITION] Label: FAKE | Speaker: donald trump | Subject: history;terrorism | Context: a tweet
[CLAIM]",0.03696098551154137,0.08726899325847626,0.12320328503847122,0.19917865097522736,0.36960986256599426,0.18377824127674103
"Says Joe Biden ""would have taken away"" the health insurance that people in Mississippi are paying for. He also said he would make sure no one has to pay federal taxes on his own money because of this new law, which is partisan legislation passed by Republican-controlled Congress and signed into state court order last year after it was approved as an executive action from President Obama's administration . ... (that) means if you had","Says Joe Biden ""would have taken away"" the health insurance that people in Mississippi are paying for. He also said he would make sure no one has to pay federal taxes on his own money because of this new law, which is partisan legislation passed by Republican-controlled Congress and signed into state court order last year after it was approved as an executive action from President Obama's administration . ... (that) means if you had

[METADATA] speaker: steve poizner | subject: immigration;candidate biography;elections;federal budget;health care;message machine 2010;poverty | context: a campaign commercial",0,steve poizner,immigration;candidate biography;elections;federal budget;health care;message machine 2010;poverty,a campaign commercial,"[CONDITION] Label: FAKE | Speaker: steve poizner | Subject: immigration;candidate biography;elections;federal budget;health care;message machine 2010;poverty | Context: a campaign commercial
[CLAIM]",0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.0
"The federal government has ""never been able to solve the housing crisis. It's not even possible for us, as states and local governments are trying very hard in this country that we can't do it right now,"" because they have never succeeded at solving their own problem of low rates .","The federal government has ""never been able to solve the housing crisis. It's not even possible for us, as states and local governments are trying very hard in this country that we can't do it right now,"" because they have never succeeded at solving their own problem of low rates .

[METADATA] speaker: theresa price | subject: bankruptcy;economy;housing;government regulation;poverty;states | context: a speech during a rally on homelessness",0,theresa price,bankruptcy;economy;housing;government regulation;poverty;states,a speech during a rally on homelessness,"[CONDITION] Label: FAKE | Speaker: theresa price | Subject: bankruptcy;economy;housing;government regulation;poverty;states | Context: a speech during a rally on homelessness
[CLAIM]",0.0,0.0,0.0,0.0,1.0,0.0
"The FDA is ""going to revoke the approval of Pfizer and Moderna for COVID-19 vaccines in order that they can legally manufacture them without a vaccine trial with millions or billions more people than you would have been exposed by normal vaccination rates, even if it were 90 percent vaccinated against this virus! They will do exactly what's necessary!"" (to get approved) while giving us no chance at natural immunity from getting these","The FDA is ""going to revoke the approval of Pfizer and Moderna for COVID-19 vaccines in order that they can legally manufacture them without a vaccine trial with millions or billions more people than you would have been exposed by normal vaccination rates, even if it were 90 percent vaccinated against this virus! They will do exactly what's necessary!"" (to get approved) while giving us no chance at natural immunity from getting these

[METADATA] speaker: jerome r. corsi | subject: facebook fact-checks;coronavirus | context: an article",0,jerome r. corsi,facebook fact-checks;coronavirus,an article,"[CONDITION] Label: FAKE | Speaker: jerome r. corsi | Subject: facebook fact-checks;coronavirus | Context: an article
[CLAIM]",0.0,0.0,0.0,0.0,0.75,0.25
"Says the Obama administration ""has never been able to agree with a single bill. They've had no deal, they're not even trying anything at all in this country that's going toward any kind of agreement or compromise ... And so far it has gone nowhere."" ""Allen West is one Democrat who would have made some changes if he'd known what was coming,"" said Senate Majority Leader Chuck Schumer during","Says the Obama administration ""has never been able to agree with a single bill. They've had no deal, they're not even trying anything at all in this country that's going toward any kind of agreement or compromise ... And so far it has gone nowhere."" ""Allen West is one Democrat who would have made some changes if he'd known what was coming,"" said Senate Majority Leader Chuck Schumer during

[METADATA] speaker: allen west | subject: federal budget;history | context: an interview on CNN",0,allen west,federal budget;history,an interview on CNN,"[CONDITION] Label: FAKE | Speaker: allen west | Subject: federal budget;history | Context: an interview on CNN
[CLAIM]",0.1111111119389534,0.03703703731298447,0.1111111119389534,0.2222222238779068,0.37037035822868347,0.14814814925193787
"The National Weather Service is going to be the first agency in U.S. history that will issue warnings about severe thunderstorms and tornadoes before they happen, not after or even when it's already been rained out! … That means we're now at least 10 years ahead if you look closely... We've never had this kinda thing done like anything else up until today ... so I'm glad for those times where","The National Weather Service is going to be the first agency in U.S. history that will issue warnings about severe thunderstorms and tornadoes before they happen, not after or even when it's already been rained out! … That means we're now at least 10 years ahead if you look closely... We've never had this kinda thing done like anything else up until today ... so I'm glad for those times where

[METADATA] speaker: dana perino | subject: environment;natural disasters ;weather;punditfact | context: a broadcast of ""The Five"" on Fox News",0,dana perino,environment;natural disasters ;weather;punditfact,"a broadcast of ""The Five"" on Fox News","[CONDITION] Label: FAKE | Speaker: dana perino | Subject: environment;natural disasters ;weather;punditfact | Context: a broadcast of ""The Five"" on Fox News
[CLAIM]",0.0,0.0,0.0,0.25,0.5,0.25
"The Pennsylvania Supreme Court's decision to reject the state election is ""a clear indication that they don't want their people voting. They're not going in there, are just looking for ways around it! … (the court) said no votes could be cast by anyone outside of town at any time!"" ... This means you can still vote from home or even online if needed but your mail-in ballot cannot go through until 8","The Pennsylvania Supreme Court's decision to reject the state election is ""a clear indication that they don't want their people voting. They're not going in there, are just looking for ways around it! … (the court) said no votes could be cast by anyone outside of town at any time!"" ... This means you can still vote from home or even online if needed but your mail-in ballot cannot go through until 8

[METADATA] speaker: tweets | subject: corrections and updates;elections;facebook fact-checks;pennsylvania | context: a tweet",0,tweets,corrections and updates;elections;facebook fact-checks;pennsylvania,a tweet,"[CONDITION] Label: FAKE | Speaker: tweets | Subject: corrections and updates;elections;facebook fact-checks;pennsylvania | Context: a tweet
[CLAIM]",0.012422360479831696,0.02484472095966339,0.03726708143949509,0.07453416287899017,0.6086956262588501,0.24223601818084717
"The United States has been ""taken by terrorists. They are taking over our country and we're losing control of it, they have taken all that I've done for them in America from my office to their offices across this continent,"" saying he was assassinated on Christmas Eve 2017 as an act against American democracy"" during his presidency — but there's no evidence or record supporting such claims about him being killed while serving","The United States has been ""taken by terrorists. They are taking over our country and we're losing control of it, they have taken all that I've done for them in America from my office to their offices across this continent,"" saying he was assassinated on Christmas Eve 2017 as an act against American democracy"" during his presidency — but there's no evidence or record supporting such claims about him being killed while serving

[METADATA] speaker: donald trump | subject: foreign policy;terrorism | context: a speech at the Republican convention",0,donald trump,foreign policy;terrorism,a speech at the Republican convention,"[CONDITION] Label: FAKE | Speaker: donald trump | Subject: foreign policy;terrorism | Context: a speech at the Republican convention
[CLAIM]",0.03696098551154137,0.08726899325847626,0.12320328503847122,0.19917865097522736,0.36960986256599426,0.18377824127674103
"The number of people who are killed by police in the United States each year is 1,000. In Texas there's only about one person per day that has been shot or stabbed and it doesn't even get to reach its peak before spring break."" He said ""the rate at which these incidents happen"" increases during summer months due as well. The mayor on Tuesday announced plans for $2 million repairs needed after","The number of people who are killed by police in the United States each year is 1,000. In Texas there's only about one person per day that has been shot or stabbed and it doesn't even get to reach its peak before spring break."" He said ""the rate at which these incidents happen"" increases during summer months due as well. The mayor on Tuesday announced plans for $2 million repairs needed after

[METADATA] speaker: brian moran | subject: transportation | context: a news release",0,brian moran,transportation,a news release,"[CONDITION] Label: FAKE | Speaker: brian moran | Subject: transportation | Context: a news release
[CLAIM]",0.0,0.0,0.5,0.0,0.0,0.5
"Says the president ""has not even considered any option to stop illegal immigrants from crossing our border. He has only taken steps like creating special visas for those who have been convicted of crimes and sent them back home after being arrested or deported in violation."" ... The same senator is also behind building new infrastructure at an airport that was built before him when he ran against her opponent's run through his own office...""","Says the president ""has not even considered any option to stop illegal immigrants from crossing our border. He has only taken steps like creating special visas for those who have been convicted of crimes and sent them back home after being arrested or deported in violation."" ... The same senator is also behind building new infrastructure at an airport that was built before him when he ran against her opponent's run through his own office...""

[METADATA] speaker: tim scott | subject: immigration;border security | context: a post on X, formerly Twitter",0,tim scott,immigration;border security,"a post on X, formerly Twitter","[CONDITION] Label: FAKE | Speaker: tim scott | Subject: immigration;border security | Context: a post on X, formerly Twitter
[CLAIM]",0.1111111119389534,0.1111111119389534,0.2222222238779068,0.1111111119389534,0.4444444477558136,0.0
"Says U.S. Senators Hillary Clinton and Kamala Harris ""are saying that if we don't get to the 2024 election, they will have no chance of winning president because there is so much money in their pocket"" from offshore accounts linked with Donald Trump's campaign team."" ... Obama has said he wants America safe but hasn’t done anything about it since his inauguration speech last night — as well as","Says U.S. Senators Hillary Clinton and Kamala Harris ""are saying that if we don't get to the 2024 election, they will have no chance of winning president because there is so much money in their pocket"" from offshore accounts linked with Donald Trump's campaign team."" ... Obama has said he wants America safe but hasn’t done anything about it since his inauguration speech last night — as well as

[METADATA] speaker: bloggers | subject: nuclear;facebook fact-checks | context: a Facebook post",0,bloggers,nuclear;facebook fact-checks,a Facebook post,"[CONDITION] Label: FAKE | Speaker: bloggers | Subject: nuclear;facebook fact-checks | Context: a Facebook post
[CLAIM]",0.01092896144837141,0.02459016442298889,0.032786883413791656,0.07240436971187592,0.31830599904060364,0.5409836173057556
"Says Donald Trump said, ""I'm not going to do anything about this. I just want everyone out of my way."" He also did say he would be willing if someone was asked what the American people wanted them doing in 2016 election day and they were all against him because that's his stance on it! 🇺🇸","Says Donald Trump said, ""I'm not going to do anything about this. I just want everyone out of my way."" He also did say he would be willing if someone was asked what the American people wanted them doing in 2016 election day and they were all against him because that's his stance on it! 🇺🇸

[METADATA] speaker: facebook posts | subject: fake news;facebook fact-checks | context: a Facebook post",0,facebook posts,fake news;facebook fact-checks,a Facebook post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: fake news;facebook fact-checks | Context: a Facebook post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"The Trump administration ""has never considered gay marriage. It's not even on the list of states that have to pass it, but they've done their best work in putting LGBTQ+ people into positions where there is no legal protection for them against homophobia or bigotry"" when voting by mail-in ballots (in Alabama) last year -- with 8 percent being LGBT voters outnumbered white ones at any point during","The Trump administration ""has never considered gay marriage. It's not even on the list of states that have to pass it, but they've done their best work in putting LGBTQ+ people into positions where there is no legal protection for them against homophobia or bigotry"" when voting by mail-in ballots (in Alabama) last year -- with 8 percent being LGBT voters outnumbered white ones at any point during

[METADATA] speaker: christopher plante | subject: civil rights;lgbtq;marriage;polls and public opinion | context: a television interview",0,christopher plante,civil rights;lgbtq;marriage;polls and public opinion,a television interview,"[CONDITION] Label: FAKE | Speaker: christopher plante | Subject: civil rights;lgbtq;marriage;polls and public opinion | Context: a television interview
[CLAIM]",0.0,0.5,0.0,0.0,0.0,0.5
"Says the ""federal government is not taking any steps to help people who are living in homeless shelters. We have no plan for them, and we don't even know how many of those sheltered individuals actually come out there now that they've been taken into custody or arrested"" by federal agents under his name as an anti-racker investigator on Operation Ceasefire . He also said he was told about this","Says the ""federal government is not taking any steps to help people who are living in homeless shelters. We have no plan for them, and we don't even know how many of those sheltered individuals actually come out there now that they've been taken into custody or arrested"" by federal agents under his name as an anti-racker investigator on Operation Ceasefire . He also said he was told about this

[METADATA] speaker: charles clark | context: a telephone interview",0,charles clark,,a telephone interview,"[CONDITION] Label: FAKE | Speaker: charles clark | Subject: unknown | Context: a telephone interview
[CLAIM]",0.0,0.0,0.0,0.0,1.0,0.0
"Says Donald Trump said ""I'm going to lose my job"" after he was arrested for the murder of his daughter. He then went back and changed that statement, saying it's because they were in prison custody at this time (the FBI) didn't have enough evidence on him when prosecuting them! They don’t need anything from you if there are no 9/11 witnesses!"" The President is also trying not","Says Donald Trump said ""I'm going to lose my job"" after he was arrested for the murder of his daughter. He then went back and changed that statement, saying it's because they were in prison custody at this time (the FBI) didn't have enough evidence on him when prosecuting them! They don’t need anything from you if there are no 9/11 witnesses!"" The President is also trying not

[METADATA] speaker: facebook posts | subject: fake news;facebook fact-checks | context: a Facebook post",0,facebook posts,fake news;facebook fact-checks,a Facebook post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: fake news;facebook fact-checks | Context: a Facebook post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"Says the Obama administration's ""health plan"" for 13 million Americans will cost more than $2 trillion over ten years. The government has spent billions of dollars on Medicare, Medicaid and other programs to help people with pre-existing conditions get better coverage in this new system called Obamacare — which is a lot like what they did under President George W. Bush when he took office as Secretary of Health & Welfare (","Says the Obama administration's ""health plan"" for 13 million Americans will cost more than $2 trillion over ten years. The government has spent billions of dollars on Medicare, Medicaid and other programs to help people with pre-existing conditions get better coverage in this new system called Obamacare — which is a lot like what they did under President George W. Bush when he took office as Secretary of Health & Welfare (

[METADATA] speaker: karl rove | subject: health care | context: an op-ed",0,karl rove,health care,an op-ed,"[CONDITION] Label: FAKE | Speaker: karl rove | Subject: health care | Context: an op-ed
[CLAIM]",0.0,0.47058823704719543,0.11764705926179886,0.11764705926179886,0.29411765933036804,0.0
"Says he's ""not been to the United States"" in his 14 years as mayor of Selma. He says it was a mistake that President Barack Obama wasn't there when this city needed him most during Hurricane Katrina and after New Orleans flooded with water damage from Typhoon Laura, which hit us last week on its way out into our state ... [that is why I'm not going here again]. …","Says he's ""not been to the United States"" in his 14 years as mayor of Selma. He says it was a mistake that President Barack Obama wasn't there when this city needed him most during Hurricane Katrina and after New Orleans flooded with water damage from Typhoon Laura, which hit us last week on its way out into our state ... [that is why I'm not going here again]. …

[METADATA] speaker: michael tyler | subject: transportation | context: The Atlanta Journal-Constitution",0,michael tyler,transportation,The Atlanta Journal-Constitution,"[CONDITION] Label: FAKE | Speaker: michael tyler | Subject: transportation | Context: The Atlanta Journal-Constitution
[CLAIM]",0.0,0.0,0.0,1.0,0.0,0.0
